Id,groupId,matchId,assists,boosts,damageDealt,DBNOs,headshotKills,heals,killPlace,killPoints,kills,killStreaks,longestKill,matchDuration,matchType,maxPlace,numGroups,rankPoints,revives,rideDistance,roadKills,swimDistance,teamKills,vehicleDestroys,walkDistance,weaponsAcquired,winPoints,winPlacePerc
2f262dd9795e60,78437bcd91d40e,d5db3a49eb2955,0,0,0.0,0,0,0,92,1126,0,0,0.0,1376,squad-fpp,29,28,-1,0,0.0,0,0.0,0,0,0.0,0,1470,0.0
a32847cf5bf34b,85b7ce5a12e10b,65223f05c7fdb4,0,0,163.2,1,1,0,42,1309,1,1,6.589,1370,squad-fpp,28,28,-1,0,0.0,0,0.0,0,0,132.7,2,1531,0.2222
1b1900a9990396,edf80d6523380a,1cadec4534f30a,0,3,278.7,2,1,8,16,0,2,1,23.07,1381,squad-fpp,29,27,1479,3,0.0,0,0.0,0,0,3591.0,10,0,0.8571
f589dd03b60bf2,804ab5e5585558,c4a5676dc91604,0,0,191.9,1,0,0,31,0,1,1,24.89,1708,squad,27,25,1500,0,0.0,0,0.0,0,0,332.7,3,0,0.3462
c23c4cc5b78b35,b3e2cd169ed920,cd595700a01bfa,0,0,100.0,1,0,0,87,1332,0,0,0.0,1807,squad-fpp,30,30,-1,0,0.0,0,0.0,0,0,252.7,3,1557,0.069
fd034582dd4d2e,9b8930aeee086a,6f6e52b15ddf21,0,1,200.0,2,0,1,73,0,0,0,0.0,1362,squad-fpp,26,24,1769,0,0.0,0,0.0,0,0,221.8,2,0,0.2
c60b5633f4dcc8,7c0f817f6627c7,3232c1e0fec04b,0,3,638.2,4,1,1,1,0,8,2,158.7,1369,duo-fpp,46,46,1747,1,0.0,0,0.0,0,0,3350.0,5,0,0.9333
f0ba8246b6980f,7318b5204462cb,112e9711f86001,0,0,27.94,0,0,0,66,0,0,0,0.0,1349,duo-fpp,48,46,1502,0,0.0,0,0.0,0,0,417.6,4,0,0.3617
79c5d5eda1c72e,a85b81198dfc06,ef5fc25e28ffb1,1,4,275.8,3,0,4,10,0,4,2,77.42,1387,squad,28,27,1500,1,1415.0,0,0.0,0,0,1959.0,4,0,0.6296
94834a28e52abd,bc513cde35fa54,f36a754a9b88f7,1,1,530.4,4,0,8,5,1502,5,2,33.67,1377,squad-fpp,27,25,-1,1,439.5,0,0.0,0,0,2794.0,5,1527,0.8462
f051dcc9b0b3ce,d203c0e3d8c321,89a6a8738190b4,0,0,20.59,0,0,0,48,0,0,0,0.0,1358,squad-fpp,29,29,1500,0,0.0,0,0.0,0,0,284.1,3,0,0.7857
f02c2f34accf08,22ed911205c815,559dac9580b92a,1,0,62.72,0,0,2,54,0,0,0,0.0,1829,squad-fpp,29,29,1485,0,4108.0,0,0.0,0,0,1858.0,3,0,0.7143
6701c06774d409,cdb79f944d585b,9f3decb5ffba4e,0,0,0.0,0,0,0,87,1299,0,0,0.0,1385,squad-fpp,30,30,-1,0,0.0,0,0.0,0,0,53.12,0,1502,0.1034
4e4aef4aeee5f5,a9dfa1c736c889,ac92da38bb19ad,0,2,13.83,0,0,2,27,0,1,1,42.24,1778,squad-fpp,29,29,1496,0,3411.0,0,0.0,0,0,1232.0,7,0,0.4643
d26b4b75c5229d,130ea20c924e8c,14fb1c1b26e9a4,0,0,25.8,0,0,1,58,1267,0,0,0.0,1863,solo-fpp,98,94,-1,0,944.2,0,0.0,0,0,2022.0,3,1554,0.5876
c5473a410326a8,8a25860cd71a23,88cffe1ae97aff,1,1,594.0,2,1,7,16,0,2,1,16.79,1336,squad-fpp,29,27,2722,2,0.0,0,0.0,0,0,997.9,6,0,0.6429
321fe9f3c71131,cb3471586d99b4,1cf664f7c75122,0,0,50.31,0,0,0,82,0,0,0,0.0,1898,duo,50,43,1480,0,0.0,0,0.0,0,0,61.44,3,0,0.0408
f8933f3ee2e431,114b20e9d7504b,d5fcb7a3981d33,0,0,0.0,0,0,0,80,0,0,0,0.0,1793,squad-fpp,27,27,1202,0,0.0,0,0.0,0,0,142.7,3,0,0.1154
c70c7337cd46b4,73870d831717aa,e6602141e44281,0,0,25.8,0,0,0,74,1183,0,0,0.0,1351,duo-fpp,48,48,-1,0,0.0,0,0.0,0,0,283.6,2,1523,0.2979
d6c231133b5d57,928733f3037f92,b4baee11351ae6,0,0,30.96,0,0,1,69,1130,0,0,0.0,1421,solo-fpp,97,91,-1,0,0.0,0,0.0,0,0,332.1,5,1451,0.3854
24bf41b4383f4b,fa671279498392,d090c7ab4f3772,0,4,90.03,0,0,3,40,1288,0,0,0.0,1771,squad-fpp,28,27,-1,0,2512.0,0,0.0,0,0,2513.0,5,1537,0.9259
